"Timestamp","Study ID (e.g., wsb002 or jwm040)","Reviewer's Initials (yours)","Was this paper suitable for review? ","Was this paper reviewed? ","Data readily available?","Was the data pre-processed or shared in original raw format?","Code available","Analysis was entirely code-based","Open source file formats used ","Can code be run as is? ","Were the study's figures reproduced? ","Were the numbers in the study's tables and/or results text quantitatively reproduced? ","Were the study's conclusions reproduced? "
"2018/07/25 1:16:00 PM CDT","wsb028","AAA","True","","False","Pre-processed","True","True","True","5","5","5","5"
"2018/07/25 1:18:47 PM CDT","jwm019","ADJ","True","","True","Pre-processed","True","True","True","4","5","4","4"
"2018/07/25 2:29:22 PM CDT","wsb015","KV","True","","False","Pre-processed","Not applicable (e.g., not analyzed with code-based software)","False","False","","3","2","4"
"2018/07/25 3:01:47 PM CDT","wsb013","FI","True","","True","Raw format","False","False","False","","4","4","5"
"2018/07/25 3:03:44 PM CDT","wsb028","JJN","True","","True","Pre-processed","True","True","True","5","5","5","5"
"2018/07/25 3:14:29 PM CDT","wsb015","ADJ","True","","False","Pre-processed","Not applicable (e.g., not analyzed with code-based software)","False","False","","3","3","4"
"2018/07/26 10:09:39 AM CDT","jwm019","AAA","True","True","True","Pre-processed","True","True","False","4","5","4","4"
"2018/07/26 11:29:38 AM CDT","jwm003","AAA","True","False, author declined to participate (e.g., private data, no time, etc)","False","Not applicable (e.g., study not suitable for review).","False","Unsure","Unsure","","","",""
"2018/07/26 11:30:30 AM CDT","jwm005","AAA","True","False, author declined to participate (e.g., private data, no time, etc)","False","Not applicable (e.g., study not suitable for review).","False","Not applicable (e.g., study not suitable for review).","Not applicable (e.g., study not suitable for review).","","","",""
"2018/07/26 11:31:11 AM CDT","jwm011","AAA","True","False, author declined to participate (e.g., private data, no time, etc)","False","Not applicable (e.g., study not suitable for review).","False","Not applicable (e.g., study not suitable for review).","Not applicable (e.g., study not suitable for review).","","","",""
"2018/07/26 11:31:53 AM CDT","jwm016","AAA","True","False, author declined to participate (e.g., private data, no time, etc)","False","Not applicable (e.g., study not suitable for review).","False","Not applicable (e.g., study not suitable for review).","Not applicable (e.g., study not suitable for review).","","","",""
"2018/07/26 11:32:25 AM CDT","jwm030","AAA","False","False, unsuitable for review","Not applicable (e.g., study not suitable for review).","Not applicable (e.g., study not suitable for review).","Not applicable (e.g., not analyzed with code-based software)","Not applicable (e.g., study not suitable for review).","Not applicable (e.g., study not suitable for review).","","","",""
"2018/07/26 11:32:59 AM CDT","jwm031","AAA","True","False, author declined to participate (e.g., private data, no time, etc)","False","Not applicable (e.g., study not suitable for review).","False","Not applicable (e.g., study not suitable for review).","Not applicable (e.g., study not suitable for review).","","","",""
"2018/07/26 11:33:28 AM CDT","wsb001","AAA","True","False, author declined to participate (e.g., private data, no time, etc)","False","Not applicable (e.g., study not suitable for review).","False","Not applicable (e.g., study not suitable for review).","Not applicable (e.g., study not suitable for review).","","","",""
"2018/07/26 11:33:57 AM CDT","wsb005","AAA","True","False, author declined to participate (e.g., private data, no time, etc)","False","Not applicable (e.g., study not suitable for review).","False","Not applicable (e.g., study not suitable for review).","Not applicable (e.g., study not suitable for review).","","","",""
"2018/07/26 11:34:25 AM CDT","wsb009","AAA","False","False, unsuitable for review","Not applicable (e.g., study not suitable for review).","Not applicable (e.g., study not suitable for review).","Not applicable (e.g., not analyzed with code-based software)","Not applicable (e.g., study not suitable for review).","Not applicable (e.g., study not suitable for review).","","","",""
"2018/07/26 11:34:44 AM CDT","wsb011","AAA","False","False, unsuitable for review","Not applicable (e.g., study not suitable for review).","Not applicable (e.g., study not suitable for review).","Not applicable (e.g., not analyzed with code-based software)","Not applicable (e.g., study not suitable for review).","Not applicable (e.g., study not suitable for review).","","","",""
"2018/07/26 11:35:57 AM CDT","wsb020","AAA","True","False, for other reasons not stated above","False","Not applicable (e.g., study not suitable for review).","False","Not applicable (e.g., study not suitable for review).","Not applicable (e.g., study not suitable for review).","","","",""
"2018/07/26 11:36:46 AM CDT","wsb039","AAA","True","False, author declined to participate (e.g., private data, no time, etc)","False","Not applicable (e.g., study not suitable for review).","False","Not applicable (e.g., study not suitable for review).","Not applicable (e.g., study not suitable for review).","","","",""
"2018/07/27 9:13:41 AM CDT","wsb013","ADJ","True","True","True","Raw format","Not applicable (e.g., not analyzed with code-based software)","False","True","","5","4","5"
"2018/07/27 11:01:28 AM CDT","wsb037","AAA","True","False, author declined to participate (e.g., private data, no time, etc)","False","Not applicable (e.g., study not suitable for review).","False","Not applicable (e.g., study not suitable for review).","Not applicable (e.g., study not suitable for review).","","","",""
"2018/07/27 11:02:07 AM CDT","wsb029","AAA","True","False, for other reasons not stated above","False","Not applicable (e.g., study not suitable for review).","False","Not applicable (e.g., study not suitable for review).","Not applicable (e.g., study not suitable for review).","","","",""
"2018/07/31 2:00:48 PM CDT","wsb035","JF","True","True","Unsure","Unsure","False","True","Unsure","","5","5","5"
